company,enterprise_number
IMPALA PLATINUM HOLDINGS,South Africa > M1957001979
THE STANDARD BANK OF SOUTH AFRICA,South Africa > M1962000738
HUROSCO PROPERTIES AND CONSTRUCTION HOLDINGS,South Africa > K2015009172
CAS UNLIMITED,South Africa > K2019102935
STRUCTURED INVESTMENT PRODUCTS SOUTH AFRICA,South Africa > K2016218894
BARRY CALLEBAUT SOUTH AFRICA,South Africa > K2017451237
OMC FINANCIAL SERVICES,South Africa > K2022322280
TRADEFIN CAPITAL,South Africa > K2016366171
S A RETAIL PROPERTIES,South Africa > M1999025764
2022 ENVIRONMENTAL SCIENCE ZA,South Africa > K2022228577
SOUTHONE CAPITAL,South Africa > K2022253076
PRESCIENT INVESTMENT MANAGEMENT,South Africa > M1998023640
TRENDLINE FUND MANAGEMENT,South Africa > M2005041031
NOVUS HOLDINGS,South Africa > M2008011165
ALLAN GRAY,South Africa > M2005002576
OVENSTONE AGENCIES,South Africa > M1963005454
BASF SOUTH AFRICA,South Africa > M1966010235
CANNON ASSET MANAGERS,South Africa > M2000025176
BRIDGESTONE SOUTH AFRICA,South Africa > M1930002801
SIKHULA VENTURE CAPITAL,South Africa > K2017315029
KES GROUP,South Africa > K2017194663
BETLINX,South Africa > K2017333431
BLOCK MARKETS AFRICA,South Africa > K2018467719
SYSTEMS APPLICATIONS PRODUCTS (AFRICA REGION),South Africa > M1999023422
ELECTROLUX SOUTH AFRICA,South Africa > M1971005541
YSX CAPITAL,South Africa > K2021002407
COCA-COLA BEVERAGES AFRICA,South Africa > K2016050997
CAPE CAPITAL GROUP,South Africa > K2019142922
UTYALO TRADING,South Africa > K2016313433
YFC ENTERPRISE,South Africa > K2022381362
SOLITIX FX,South Africa > K2021931983
HOTSPOT FX,South Africa > K2021746815
HELLMANN WORLDWIDE SUPPLY CHAIN SERVICES SA,South Africa > M1995000655
GOLD HAUS,South Africa > K2018497356
CYBERFX,South Africa > K2018225294
HITACHI ENERGY SOUTH AFRICA,South Africa > K2019186712
PHILAGRO SOUTH AFRICA,South Africa > M1998010658
LINKSOM,South Africa > B1988028896
XYLEM WATER SOLUTIONS SOUTH AFRICA,South Africa > M1990005290
BUSINESS CONNEXION,South Africa > M1993003683
THREE TIGERS SOLUTIONS,South Africa > K2020087656
FINVEST MANAGEMENT SERVICES,South Africa > K2020591773
DEKTA TRADING,South Africa > K2020574942
GARDENVIEW NOMINEES (RF),South Africa > M1995006392
ARNOLD DU BRUIN AND ASSOCIATES,South Africa > M1997015524
INVESTEC,South Africa > M1925002833
SERAPHIM FINANCIAL SERVICES,South Africa > K2017511139
HITACHI CONSTRUCTION MACHINERY AFRICA,South Africa > M1998009076
SAPPI SOUTHERN AFRICA,South Africa > M1951003180
OLAM SOUTH AFRICA,South Africa > M2000020922
DRAGER SOUTH AFRICA,South Africa > M1983011430
BRITEHOUSE HOLDINGS,South Africa > M1986002093
ENERGY SPECIALISED CONSULTING,South Africa > K2016446885
SUBINITE,South Africa > M2010018925
VIMBISO HOLDINGS,South Africa > K2018631589
ASCENDIS FINANCIAL SERVICES,South Africa > K2012021393
DONALDSON GLOBAL INVESTMENTS,South Africa > K2017653546
SWISS RE CORPORATE SOLUTIONS AFRICA,South Africa > K2014064395
JUDA CAPITAL,South Africa > K2016137528
COMPUSCAN HOLDINGS INTERNATIONAL,South Africa > K2014031757
DOOSAN INTERNATIONAL SOUTH AFRICA,South Africa > M2007023227
BENTELER SOUTH AFRICA,South Africa > M1997017959
MKHONTO FINANCIAL SERVICES,South Africa > K2012139222
